card_name,card_race,card_type,card_class,description
Pawn,INVALID,MINION,WARRIOR,Pawn INVALID WARRIOR MINION Taunt
Fool's Bane,INVALID,WEAPON,WARRIOR,Fool's Bane INVALID WARRIOR WEAPON Unlimited attacks each turn. Can't attack heroes.
Runic Egg,INVALID,MINION,NEUTRAL,Runic Egg INVALID NEUTRAL MINION Deathrattle: Draw a card.
Cellar Spider,BEAST,MINION,NEUTRAL,"Cellar Spider BEAST NEUTRAL MINION "
Pantry Spider,BEAST,MINION,NEUTRAL,Pantry Spider BEAST NEUTRAL MINION Battlecry: Summon a1/3 Spider.
Book Wyrm,DRAGON,MINION,NEUTRAL,"Book Wyrm DRAGON NEUTRAL MINION Battlecry: If you're holding a Dragon, destroy an enemy minion with 3 or less Attack."
Priest of the Feast,INVALID,MINION,PRIEST,"Priest of the Feast INVALID PRIEST MINION Whenever you cast a spell, restore #3 Health toyour hero."
Arcane Anomaly,ELEMENTAL,MINION,NEUTRAL,"Arcane Anomaly ELEMENTAL NEUTRAL MINION Whenever you cast a spell, give this minion+1 Health."
Eating,INVALID,ENCHANTMENT,NEUTRAL,Eating INVALID NEUTRAL ENCHANTMENT Increased Health.
Avian Watcher,INVALID,MINION,NEUTRAL,"Avian Watcher INVALID NEUTRAL MINION Battlecry: If you control a Secret, gain +1/+1and Taunt."
Secrets of Karazhan,INVALID,ENCHANTMENT,NEUTRAL,Secrets of Karazhan INVALID NEUTRAL ENCHANTMENT +1/+1 and Taunt.
Moat Lurker,INVALID,MINION,NEUTRAL,Moat Lurker INVALID NEUTRAL MINION Battlecry: Destroy a minion. Deathrattle: Resummon it.
Moat Lurker,INVALID,ENCHANTMENT,NEUTRAL,Moat Lurker INVALID NEUTRAL ENCHANTMENT Destroyed {0}.
Moroes,INVALID,MINION,NEUTRAL,"Moroes INVALID NEUTRAL MINION StealthAt the end of your turn, summon a 1/1 Steward."
Steward,INVALID,MINION,NEUTRAL,"Steward INVALID NEUTRAL MINION "
Ivory Knight,INVALID,MINION,PALADIN,Ivory Knight INVALID PALADIN MINION Battlecry: Discover a spell.Restore Health to your heroequal to its Cost.
The Curator,MECHANICAL,MINION,NEUTRAL,"The Curator MECHANICAL NEUTRAL MINION TauntBattlecry: Draw a Beast, Dragon, and Murloc from your deck."
Netherspite Historian,INVALID,MINION,NEUTRAL,"Netherspite Historian INVALID NEUTRAL MINION Battlecry: If you're holding a Dragon, Discovera Dragon."
Spirit Claws,INVALID,WEAPON,SHAMAN,Spirit Claws INVALID SHAMAN WEAPON Has +2 Attack while youhave Spell Damage.
Menagerie Warden,INVALID,MINION,DRUID,Menagerie Warden INVALID DRUID MINION Battlecry: Choose a friendly Beast. Summon acopy of it.
Swashburglar,PIRATE,MINION,ROGUE,Swashburglar PIRATE ROGUE MINION Battlecry: Add a random card to your hand (from your opponent's class).
Ethereal Peddler,INVALID,MINION,ROGUE,"Ethereal Peddler INVALID ROGUE MINION Battlecry: If you're holding any cards from another class, reduce their Cost by (2)."
Maelstrom Portal,INVALID,SPELL,SHAMAN,Maelstrom Portal INVALID SHAMAN SPELL Deal$1damage toallenemyminions. Summonarandom1-Cost minion. @spelldmg
Moonglade Portal,INVALID,SPELL,DRUID,Moonglade Portal INVALID DRUID SPELL Restore #6 Health. Summon a random6-Cost minion.
Firelands Portal,INVALID,SPELL,MAGE,Firelands Portal INVALID MAGE SPELL Deal $5 damage. Summon a random5-Cost minion. @spelldmg
Silvermoon Portal,INVALID,SPELL,PALADIN,Silvermoon Portal INVALID PALADIN SPELL Give a minion +2/+2. Summon a random2-Cost minion.
Silver Might,INVALID,ENCHANTMENT,NEUTRAL,Silver Might INVALID NEUTRAL ENCHANTMENT +2/+2.
Malchezaar's Imp,DEMON,MINION,WARLOCK,"Malchezaar's Imp DEMON WARLOCK MINION Whenever you discard a card, draw a card."
Ironforge Portal,INVALID,SPELL,WARRIOR,Ironforge Portal INVALID WARRIOR SPELL Gain 4 Armor.Summon a random4-Cost minion.
Medivh's Valet,INVALID,MINION,MAGE,"Medivh's Valet INVALID MAGE MINION Battlecry: If you control a Secret, deal 3 damage."
Deadly Fork,INVALID,MINION,ROGUE,Deadly Fork INVALID ROGUE MINION Deathrattle: Add a 3/2 weapon to your hand.
Sharp Fork,INVALID,WEAPON,ROGUE,"Sharp Fork INVALID ROGUE WEAPON "
Zoobot,MECHANICAL,MINION,NEUTRAL,"Zoobot MECHANICAL NEUTRAL MINION Battlecry: Give a random friendly Beast, Dragon, and Murloc +1/+1."
Well Fed,INVALID,ENCHANTMENT,NEUTRAL,Well Fed INVALID NEUTRAL ENCHANTMENT +1/+1.
Prince Malchezaar,DEMON,MINION,NEUTRAL,Prince Malchezaar DEMON NEUTRAL MINION Start of Game:Add 5 extra Legendaryminions to your deck.
"Medivh, the Guardian",INVALID,MINION,NEUTRAL,"Medivh, the Guardian INVALID NEUTRAL MINION Battlecry: Equip Atiesh, Greatstaff of the Guardian."
Atiesh,INVALID,WEAPON,NEUTRAL,"Atiesh INVALID NEUTRAL WEAPON After you cast a spell,summon a randomminion of that Cost.Lose 1 Durability."
Barnes,INVALID,MINION,NEUTRAL,Barnes INVALID NEUTRAL MINION Battlecry: Summon a 1/1 copy of a random minion in your deck.
Incredible Impression,INVALID,ENCHANTMENT,NEUTRAL,Incredible Impression INVALID NEUTRAL ENCHANTMENT Attack and Health set to 1.
Onyx Bishop,INVALID,MINION,PRIEST,Onyx Bishop INVALID PRIEST MINION Battlecry: Summon a friendly minion that died this game.
Silverware Golem,INVALID,MINION,WARLOCK,"Silverware Golem INVALID WARLOCK MINION If you discard this minion, summon it."
Enchanted Raven,BEAST,MINION,DRUID,"Enchanted Raven BEAST DRUID MINION "
Menagerie Magician,INVALID,MINION,NEUTRAL,"Menagerie Magician INVALID NEUTRAL MINION Battlecry: Give a random friendly Beast, Dragon, and Murloc +2/+2."
A Simple Trick,INVALID,ENCHANTMENT,NEUTRAL,A Simple Trick INVALID NEUTRAL ENCHANTMENT +2/+2.
Arcanosmith,INVALID,MINION,NEUTRAL,Arcanosmith INVALID NEUTRAL MINION Battlecry: Summon a 0/5 minion with Taunt.
Animated Shield,INVALID,MINION,NEUTRAL,Animated Shield INVALID NEUTRAL MINION Taunt
Arcane Giant,INVALID,MINION,NEUTRAL,Arcane Giant INVALID NEUTRAL MINION Costs (1) less for each spellyou've cast this game.
Violet Illusionist,INVALID,MINION,NEUTRAL,"Violet Illusionist INVALID NEUTRAL MINION During your turn, your hero is Immune."
Violet Immunity,INVALID,ENCHANTMENT,NEUTRAL,Violet Immunity INVALID NEUTRAL ENCHANTMENT Immune.
Magic Mirror,INVALID,HERO,NEUTRAL,"Magic Mirror INVALID NEUTRAL HERO "
Magic Mirror,INVALID,HERO,NEUTRAL,"Magic Mirror INVALID NEUTRAL HERO "
Reflections,INVALID,HERO_POWER,NEUTRAL,"Reflections INVALID NEUTRAL HEROPOWER Passive Hero PowerWhenever a minion is played, summon a 1/1 copy of it."
Reflection,INVALID,ENCHANTMENT,NEUTRAL,Reflection INVALID NEUTRAL ENCHANTMENT 1/1.
Reflections,INVALID,HERO_POWER,NEUTRAL,"Reflections INVALID NEUTRAL HEROPOWER Passive Hero PowerWhenever a minion is played, Magic Mirror summons a 1/1 copy of it."
Plate,INVALID,MINION,NEUTRAL,"Plate INVALID NEUTRAL MINION "
Plate,INVALID,MINION,NEUTRAL,"Plate INVALID NEUTRAL MINION "
Spoon,INVALID,WEAPON,NEUTRAL,"Spoon INVALID NEUTRAL WEAPON "
Spoon,INVALID,WEAPON,NEUTRAL,"Spoon INVALID NEUTRAL WEAPON "
Fork,INVALID,MINION,NEUTRAL,Fork INVALID NEUTRAL MINION Plates have Charge.
Fork Charge!,INVALID,ENCHANTMENT,NEUTRAL,Fork Charge! INVALID NEUTRAL ENCHANTMENT Charge
Fork,INVALID,MINION,NEUTRAL,Fork INVALID NEUTRAL MINION Plates have Charge.
Knife,INVALID,MINION,NEUTRAL,Knife INVALID NEUTRAL MINION Plates have Taunt.
A Knife Defense,INVALID,ENCHANTMENT,NEUTRAL,A Knife Defense INVALID NEUTRAL ENCHANTMENT Taunt.
Knife,INVALID,MINION,NEUTRAL,Knife INVALID NEUTRAL MINION Plates have Taunt.
Cup,INVALID,MINION,NEUTRAL,Cup INVALID NEUTRAL MINION Plates have +1 Attack.
Cupricious Clattering,INVALID,ENCHANTMENT,NEUTRAL,Cupricious Clattering INVALID NEUTRAL ENCHANTMENT +1 Attack.
Cupricious Clattering,INVALID,ENCHANTMENT,NEUTRAL,Cupricious Clattering INVALID NEUTRAL ENCHANTMENT +3 Attack.
Cup,INVALID,MINION,NEUTRAL,Cup INVALID NEUTRAL MINION Plates have +3 Attack.
Pitcher,INVALID,MINION,NEUTRAL,Pitcher INVALID NEUTRAL MINION Battlecry: Give a minion +2/+2.
Filled Up,INVALID,ENCHANTMENT,NEUTRAL,Filled Up INVALID NEUTRAL ENCHANTMENT +2/+2.
Pitcher,INVALID,MINION,NEUTRAL,Pitcher INVALID NEUTRAL MINION Battlecry: Give a minion +3/+3.
Filled Up,INVALID,ENCHANTMENT,NEUTRAL,Filled Up INVALID NEUTRAL ENCHANTMENT +3/+3.
Set the Table,INVALID,SPELL,NEUTRAL,Set the Table INVALID NEUTRAL SPELL Give your Plates +1/+1.
Table Set,INVALID,ENCHANTMENT,NEUTRAL,Table Set INVALID NEUTRAL ENCHANTMENT +1/+1.
Table Set,INVALID,ENCHANTMENT,NEUTRAL,Table Set INVALID NEUTRAL ENCHANTMENT +2/+2.
Set the Table,INVALID,SPELL,NEUTRAL,Set the Table INVALID NEUTRAL SPELL Give your Plates +2/+2.
Pour a Round,INVALID,SPELL,NEUTRAL,Pour a Round INVALID NEUTRAL SPELL Draw a card for each of your Plates.
Tossing Plates,INVALID,SPELL,NEUTRAL,Tossing Plates INVALID NEUTRAL SPELL Summon five 1/1 Plates.
Silverware Golem,INVALID,HERO,NEUTRAL,"Silverware Golem INVALID NEUTRAL HERO "
Silverware Golem,INVALID,HERO,NEUTRAL,"Silverware Golem INVALID NEUTRAL HERO "
Be Our Guest,INVALID,HERO_POWER,NEUTRAL,Be Our Guest INVALID NEUTRAL HEROPOWER Hero PowerSummon a 1/1 Plate.
Be Our Guest,INVALID,HERO_POWER,NEUTRAL,Be Our Guest INVALID NEUTRAL HEROPOWER Hero PowerSummon two 1/1 Plates.
Black Pawn,INVALID,MINION,NEUTRAL,Black Pawn INVALID NEUTRAL MINION Auto-Attack: Deal 1 damage to the enemies opposite this minion.
White Pawn,INVALID,MINION,NEUTRAL,White Pawn INVALID NEUTRAL MINION Auto-Attack: Deal 1 damage to the enemies opposite this minion.
Black Rook,INVALID,MINION,NEUTRAL,Black Rook INVALID NEUTRAL MINION Auto-Attack: Deal 2 damage to the enemies opposite this minion.
White Rook,INVALID,MINION,NEUTRAL,White Rook INVALID NEUTRAL MINION Auto-Attack: Deal 2 damage to the enemies opposite this minion.
White Bishop,INVALID,MINION,NEUTRAL,White Bishop INVALID NEUTRAL MINION Auto-Attack: Restore #2 Health to adjacent minions.
Black Bishop,INVALID,MINION,NEUTRAL,Black Bishop INVALID NEUTRAL MINION Auto-Attack: Restore #2 Health to adjacent minions.
Black Knight,INVALID,MINION,NEUTRAL,Black Knight INVALID NEUTRAL MINION Charge.Can't Attack Heroes.
White Knight,INVALID,MINION,NEUTRAL,White Knight INVALID NEUTRAL MINION Charge.Can't Attack Heroes.
White Queen,INVALID,MINION,NEUTRAL,White Queen INVALID NEUTRAL MINION Auto-Attack: Deal 4 damage to the enemies opposite this minion.
Black Queen,INVALID,MINION,NEUTRAL,Black Queen INVALID NEUTRAL MINION Auto-Attack: Deal 4 damage to the enemies opposite this minion.
Castle,INVALID,HERO_POWER,NEUTRAL,Castle INVALID NEUTRAL HEROPOWER Hero PowerDiscover a chess piece.
Castle,INVALID,HERO_POWER,NEUTRAL,Castle INVALID NEUTRAL HEROPOWER Hero PowerMove a friendly minion left. Repeatable.
Cheat,INVALID,HERO_POWER,NEUTRAL,Cheat INVALID NEUTRAL HEROPOWER Hero PowerDestroy the left-most enemy minion.
White King,INVALID,HERO,NEUTRAL,"White King INVALID NEUTRAL HERO "
White King,INVALID,HERO,NEUTRAL,"White King INVALID NEUTRAL HERO "
White King,INVALID,HERO,NEUTRAL,"White King INVALID NEUTRAL HERO "
White King,INVALID,HERO,NEUTRAL,"White King INVALID NEUTRAL HERO "
Black King,INVALID,HERO,NEUTRAL,"Black King INVALID NEUTRAL HERO "
Black King,INVALID,HERO,NEUTRAL,"Black King INVALID NEUTRAL HERO "
Black King,INVALID,HERO,NEUTRAL,"Black King INVALID NEUTRAL HERO "
Prince Malchezaar,INVALID,HERO,NEUTRAL,"Prince Malchezaar INVALID NEUTRAL HERO "
Prince Malchezaar,INVALID,HERO,NEUTRAL,"Prince Malchezaar INVALID NEUTRAL HERO "
Legion,INVALID,HERO_POWER,NEUTRAL,Legion INVALID NEUTRAL HEROPOWER Hero PowerSummon a 6/6 Abyssal.
Abyssal,DEMON,MINION,WARLOCK,"Abyssal DEMON WARLOCK MINION "
Legion,INVALID,HERO_POWER,NEUTRAL,Legion INVALID NEUTRAL HEROPOWER Hero PowerSummon a 6/6 Abyssal.
Medivh,INVALID,HERO,MAGE,"Medivh INVALID MAGE HERO "
Medivh,INVALID,HERO,NEUTRAL,"Medivh INVALID NEUTRAL HERO "
Medivh,INVALID,HERO,MAGE,"Medivh INVALID MAGE HERO "
Brilliance,INVALID,HERO_POWER,NEUTRAL,Brilliance INVALID NEUTRAL HEROPOWER Hero PowerDraw 3 cards.
Brilliance,INVALID,HERO_POWER,NEUTRAL,Brilliance INVALID NEUTRAL HEROPOWER Hero PowerDraw 3 cards.
Archmage's Insight,INVALID,SPELL,MAGE,Archmage's Insight INVALID MAGE SPELL Your spells cost (0) this turn.
Insightful,INVALID,ENCHANTMENT,NEUTRAL,Insightful INVALID NEUTRAL ENCHANTMENT Your spells cost (0).
Arcane Power,INVALID,SPELL,MAGE,Arcane Power INVALID MAGE SPELL You have Spell Damage +5 this turn.
Arcanely Powerful,INVALID,ENCHANTMENT,NEUTRAL,Arcanely Powerful INVALID NEUTRAL ENCHANTMENT +5 Spell Damage.
Astral Portal,INVALID,SPELL,MAGE,Astral Portal INVALID MAGE SPELL Summon a random Legendary minion.
Archmage's Apprentice,INVALID,MINION,MAGE,"Archmage's Apprentice INVALID MAGE MINION Whenever you cast a spell, shuffle a copy of it into your deck."
Mage Armor,INVALID,SPELL,MAGE,Mage Armor INVALID MAGE SPELL Gain 10 Armor.
Mysterious Rune,INVALID,SPELL,MAGE,Mysterious Rune INVALID MAGE SPELL Put 5 random Mage Secrets into the battlefield.
Evocation,INVALID,SPELL,MAGE,Evocation INVALID MAGE SPELL Gain 5 Mana Crystals this turn only.
Dorothee,INVALID,MINION,NEUTRAL,Dorothee INVALID NEUTRAL MINION Minions to the left have Charge. Minions to the right have Taunt.
The Crone,INVALID,HERO,NEUTRAL,"The Crone INVALID NEUTRAL HERO "
The Crone,INVALID,HERO,NEUTRAL,"The Crone INVALID NEUTRAL HERO "
Twister,INVALID,HERO_POWER,NEUTRAL,Twister INVALID NEUTRAL HEROPOWER Hero PowerDeal 100 damage. Can't be used if Dorothee is alive.
Flying Monkey,INVALID,MINION,NEUTRAL,Flying Monkey INVALID NEUTRAL MINION Charge
Flying Monkey,INVALID,MINION,NEUTRAL,Flying Monkey INVALID NEUTRAL MINION Charge
Kindly Grandmother,INVALID,HERO,NEUTRAL,"Kindly Grandmother INVALID NEUTRAL HERO "
Trembling Before the Wolf,INVALID,ENCHANTMENT,NEUTRAL,Trembling Before the Wolf INVALID NEUTRAL ENCHANTMENT Shrunk to a 1/1.
Big Bad Wolf,INVALID,HERO,NEUTRAL,"Big Bad Wolf INVALID NEUTRAL HERO "
Big Bad Wolf,INVALID,HERO,NEUTRAL,"Big Bad Wolf INVALID NEUTRAL HERO "
Trembling,INVALID,HERO_POWER,NEUTRAL,Trembling INVALID NEUTRAL HEROPOWER Passive Hero Power Enemy minions are 1/1 and cost (1).
Trembling,INVALID,HERO_POWER,NEUTRAL,Trembling INVALID NEUTRAL HEROPOWER Passive Hero Power Minions cost (1). Enemy minions are 1/1.
Big Bad Claws,INVALID,WEAPON,NEUTRAL,"Big Bad Claws INVALID NEUTRAL WEAPON "
Big Bad Claws,INVALID,WEAPON,NEUTRAL,"Big Bad Claws INVALID NEUTRAL WEAPON "
Romulo,INVALID,MINION,NEUTRAL,Romulo INVALID NEUTRAL MINION Julianne is Immune.
Death-Marked Love,INVALID,ENCHANTMENT,NEUTRAL,Death-Marked Love INVALID NEUTRAL ENCHANTMENT Julianne is immune.
Romulo,INVALID,MINION,NEUTRAL,Romulo INVALID NEUTRAL MINION Julianne is Immune.
Julianne,INVALID,HERO,NEUTRAL,"Julianne INVALID NEUTRAL HERO "
Julianne,INVALID,HERO,NEUTRAL,"Julianne INVALID NEUTRAL HERO "
True Love,INVALID,HERO_POWER,NEUTRAL,"True Love INVALID NEUTRAL HEROPOWER Hero PowerIf you don't have Romulo, summon him."
True Love,INVALID,HERO_POWER,NEUTRAL,"True Love INVALID NEUTRAL HEROPOWER Hero PowerIf you don't have Romulo, summon him."
Curator,INVALID,HERO,NEUTRAL,"Curator INVALID NEUTRAL HERO "
Curator,INVALID,HERO,NEUTRAL,"Curator INVALID NEUTRAL HERO "
Gallery Protection,INVALID,HERO_POWER,NEUTRAL,Gallery Protection INVALID NEUTRAL HEROPOWER Passive Hero PowerYour hero has Taunt.
Protecting the Gallery,INVALID,ENCHANTMENT,NEUTRAL,"Protecting the Gallery INVALID NEUTRAL ENCHANTMENT "
Murloc Escaping!,INVALID,SPELL,NEUTRAL,Murloc Escaping! INVALID NEUTRAL SPELL Summon a random Murloc.
Murlocs Escaping!,INVALID,SPELL,NEUTRAL,Murlocs Escaping! INVALID NEUTRAL SPELL Summon two random Murlocs.
Stampeding Beast!,INVALID,SPELL,NEUTRAL,Stampeding Beast! INVALID NEUTRAL SPELL Summon a random Beast.
Stampeding Beast!,INVALID,SPELL,NEUTRAL,Stampeding Beast! INVALID NEUTRAL SPELL Summon a random Beast.
Demons Loose!,INVALID,SPELL,NEUTRAL,Demons Loose! INVALID NEUTRAL SPELL Summon a random Demon.
Demons Loose!,INVALID,SPELL,NEUTRAL,Demons Loose! INVALID NEUTRAL SPELL Summon a random Demon.
Haywire Mech!,INVALID,SPELL,NEUTRAL,Haywire Mech! INVALID NEUTRAL SPELL Summon a random Mech.
Haywire Mech!,INVALID,SPELL,NEUTRAL,Haywire Mech! INVALID NEUTRAL SPELL Summon a random Mech.
Dragons Free!,INVALID,SPELL,NEUTRAL,Dragons Free! INVALID NEUTRAL SPELL Summon a random Dragon.
Dragons Free!,INVALID,SPELL,NEUTRAL,Dragons Free! INVALID NEUTRAL SPELL Summon a random Dragon.
Netherspite,INVALID,HERO,NEUTRAL,"Netherspite INVALID NEUTRAL HERO "
Netherspite,INVALID,HERO,NEUTRAL,"Netherspite INVALID NEUTRAL HERO "
Nether Rage,INVALID,HERO_POWER,NEUTRAL,Nether Rage INVALID NEUTRAL HEROPOWER Hero PowerGive your hero +3 Attack this turn.
Nether Rage,INVALID,ENCHANTMENT,NEUTRAL,Nether Rage INVALID NEUTRAL ENCHANTMENT +3 Attack.
Nether Rage,INVALID,ENCHANTMENT,NEUTRAL,Nether Rage INVALID NEUTRAL ENCHANTMENT +8 Attack.
Nether Rage,INVALID,HERO_POWER,NEUTRAL,Nether Rage INVALID NEUTRAL HEROPOWER Hero PowerGive your hero +8 Attack this turn.
Nether Breath,INVALID,SPELL,NEUTRAL,Nether Breath INVALID NEUTRAL SPELL Change the Health ofall enemy minions to 1.
Nether Breath,INVALID,ENCHANTMENT,NEUTRAL,Nether Breath INVALID NEUTRAL ENCHANTMENT Health changed to 1.
Nether Breath,INVALID,SPELL,NEUTRAL,Nether Breath INVALID NEUTRAL SPELL Change the Health ofall enemy minions to 1.
Empowerment,INVALID,SPELL,NEUTRAL,Empowerment INVALID NEUTRAL SPELL Give your hero +8 Attack this turn.
Empowered,INVALID,ENCHANTMENT,NEUTRAL,Empowered INVALID NEUTRAL ENCHANTMENT +8 Attack this turn.
Terrifying Roar,INVALID,SPELL,NEUTRAL,Terrifying Roar INVALID NEUTRAL SPELL Return an enemy minion to your opponent's hand.
Terrifying Roar,INVALID,SPELL,NEUTRAL,Terrifying Roar INVALID NEUTRAL SPELL Return an enemy minion to your opponent's hand.
Blue Portal,INVALID,MINION,NEUTRAL,Blue Portal INVALID NEUTRAL MINION The character in the blue beam only takes 1 damage at a time.
Blue Beam,INVALID,ENCHANTMENT,NEUTRAL,Blue Beam INVALID NEUTRAL ENCHANTMENT Only take 1 damage at a time.
Red Portal,INVALID,MINION,NEUTRAL,Red Portal INVALID NEUTRAL MINION The character in the red beam has Windfury.
Red Beam,INVALID,ENCHANTMENT,NEUTRAL,Red Beam INVALID NEUTRAL ENCHANTMENT Has Windfury.
Terestian Illhoof,INVALID,HERO,NEUTRAL,"Terestian Illhoof INVALID NEUTRAL HERO "
Terestian Illhoof,INVALID,HERO,NEUTRAL,"Terestian Illhoof INVALID NEUTRAL HERO "
Curator,INVALID,HERO,NEUTRAL,"Curator INVALID NEUTRAL HERO "
Many Imps!,INVALID,SPELL,NEUTRAL,Many Imps! INVALID NEUTRAL SPELL Summon 2 Icky Imps.
Icky Imp,DEMON,MINION,NEUTRAL,Icky Imp DEMON NEUTRAL MINION Deathrattle: Resummon this minion and Illhoof loses 2 Health.
Icky Imp,DEMON,MINION,NEUTRAL,Icky Imp DEMON NEUTRAL MINION Deathrattle: Resummon this minion and Illhoof loses 2 Health.
Many Imps!,INVALID,SPELL,NEUTRAL,Many Imps! INVALID NEUTRAL SPELL Summon 2 Icky Imps.
Dark Pact,INVALID,HERO_POWER,NEUTRAL,Dark Pact INVALID NEUTRAL HEROPOWER Passive Hero PowerOnly Icky Imps can damage Illhoof!
Summon Kil'rek,INVALID,SPELL,NEUTRAL,Summon Kil'rek INVALID NEUTRAL SPELL Summon Kil'rek.
Summon Kil'rek,INVALID,SPELL,NEUTRAL,Summon Kil'rek INVALID NEUTRAL SPELL Summon Kil'rek.
Shadow Volley,INVALID,SPELL,NEUTRAL,Shadow Volley INVALID NEUTRAL SPELL Deal $3 damage to all non-Demon minions. @spelldmg
Shadow Volley,INVALID,SPELL,NEUTRAL,Shadow Volley INVALID NEUTRAL SPELL Deal $3 damage to all non-Demon minions. @spelldmg
Steal Life,INVALID,SPELL,NEUTRAL,Steal Life INVALID NEUTRAL SPELL Deal $5 damage. Restore #5 Health to your hero. @spelldmg
Steal Life,INVALID,SPELL,NEUTRAL,Steal Life INVALID NEUTRAL SPELL Deal $5 damage. Restore #5 Health to your hero. @spelldmg
Kil'rek,DEMON,MINION,WARLOCK,Kil'rek DEMON WARLOCK MINION Taunt
Kil'rek,DEMON,MINION,WARLOCK,Kil'rek DEMON WARLOCK MINION Taunt
Nightbane,INVALID,HERO,NEUTRAL,"Nightbane INVALID NEUTRAL HERO "
Nightbane,INVALID,HERO,NEUTRAL,"Nightbane INVALID NEUTRAL HERO "
Manastorm,INVALID,HERO_POWER,NEUTRAL,Manastorm INVALID NEUTRAL HEROPOWER Passive Hero PowerPlayers start with 10 Mana Crystals.
Shade of Aran,INVALID,HERO,MAGE,"Shade of Aran INVALID MAGE HERO "
Shade of Aran,INVALID,HERO,MAGE,"Shade of Aran INVALID MAGE HERO "
Ley Lines,INVALID,HERO_POWER,NEUTRAL,Ley Lines INVALID NEUTRAL HEROPOWER Passive Hero PowerBoth players haveSpell Damage +3.
Ley Lines,INVALID,HERO_POWER,NEUTRAL,Ley Lines INVALID NEUTRAL HEROPOWER Passive Hero PowerBoth players haveSpell Damage +5.
Flame Wreath,INVALID,SPELL,MAGE,"Flame Wreath INVALID MAGE SPELL Secret: When an enemy attacks, deal 5 damage to all other enemies."
Flame Wreath,INVALID,SPELL,MAGE,"Flame Wreath INVALID MAGE SPELL Secret: When an enemy attacks, deal 10 damage to all other enemies."
Nazra Wildaxe,INVALID,HERO,WARRIOR,"Nazra Wildaxe INVALID WARRIOR HERO "
Nazra Wildaxe,INVALID,HERO,WARRIOR,"Nazra Wildaxe INVALID WARRIOR HERO "
The Horde,INVALID,HERO_POWER,WARRIOR,The Horde INVALID WARRIOR HEROPOWER Hero PowerSummon a 3/2 Orc.
The Horde,INVALID,HERO_POWER,WARRIOR,The Horde INVALID WARRIOR HEROPOWER Hero PowerSummon a 3/3 Orcwith Charge.
Orc Warrior,INVALID,MINION,WARRIOR,"Orc Warrior INVALID WARRIOR MINION "
Orc Warrior,INVALID,MINION,WARRIOR,Orc Warrior INVALID WARRIOR MINION Charge
Prince Malchezaar,DEMON,HERO,NEUTRAL,"Prince Malchezaar DEMON NEUTRAL HERO "
Prince Malchezaar,DEMON,HERO,NEUTRAL,"Prince Malchezaar DEMON NEUTRAL HERO "
Shadow Bolt Volley,INVALID,SPELL,NEUTRAL,Shadow Bolt Volley INVALID NEUTRAL SPELL Deal $4 damage to three random enemies. @spelldmg
Enfeeble,INVALID,ENCHANTMENT,NEUTRAL,Enfeeble INVALID NEUTRAL ENCHANTMENT Health changed to 1.
Demonic Presence,INVALID,SPELL,NEUTRAL,Demonic Presence INVALID NEUTRAL SPELL Draw 2 cards.Gain 10 Armor.
Demonic Presence,INVALID,SPELL,NEUTRAL,Demonic Presence INVALID NEUTRAL SPELL Draw 3 cards.Gain 10 Armor.
Legion,INVALID,HERO_POWER,NEUTRAL,Legion INVALID NEUTRAL HEROPOWER Hero PowerSummon a 6/6 Abyssal.
Legion,INVALID,HERO_POWER,NEUTRAL,Legion INVALID NEUTRAL HEROPOWER Hero PowerSummon two 6/6 Abyssals.
Wanda Wonderhooves,INVALID,MINION,NEUTRAL,Wanda Wonderhooves INVALID NEUTRAL MINION Portals cost (1) less. Does not count as a minion.
Susie Sizzlesong,INVALID,MINION,NEUTRAL,Susie Sizzlesong INVALID NEUTRAL MINION Portals cost (1) less. Does not count as a minion.
Mark Moonwalker,INVALID,MINION,NEUTRAL,Mark Moonwalker INVALID NEUTRAL MINION Portals cost (1) less. Does not count as a minion.
Red Riding Hood,INVALID,MINION,NEUTRAL,Red Riding Hood INVALID NEUTRAL MINION Taunt. Deathrattle: Enemies can't attack this turn.
Saddened,INVALID,ENCHANTMENT,NEUTRAL,Saddened INVALID NEUTRAL ENCHANTMENT Can't attack this turn.
Party Elemental,INVALID,MINION,NEUTRAL,Party Elemental INVALID NEUTRAL MINION Comes with a party!
Mime,INVALID,MINION,NEUTRAL,Mime INVALID NEUTRAL MINION Always silenced.
Romulo,INVALID,MINION,NEUTRAL,"Romulo INVALID NEUTRAL MINION At the end of your turn, restore #3 health to your hero."
Atiesh,INVALID,WEAPON,NEUTRAL,"Atiesh INVALID NEUTRAL WEAPON After you cast a spell,summon a randomminion of that Cost.Lose 1 Durability."
Forgotten Torch,INVALID,SPELL,MAGE,Forgotten Torch INVALID MAGE SPELL Deal $3 damage. Shuffle a 'Roaring Torch' into your deck that deals 6 damage. @spelldmg
Roaring Torch,INVALID,SPELL,MAGE,Roaring Torch INVALID MAGE SPELL Deal $6 damage. @spelldmg
Ethereal Conjurer,INVALID,MINION,MAGE,Ethereal Conjurer INVALID MAGE MINION Battlecry: Discover a spell.
Museum Curator,INVALID,MINION,PRIEST,Museum Curator INVALID PRIEST MINION Battlecry: Discover a Deathrattle card.
Curse of Rafaam,INVALID,SPELL,WARLOCK,"Curse of Rafaam INVALID WARLOCK SPELL Give your opponent a 'Cursed!' card.While they hold it, they take 2 damage on their turn."
